City,State,UniqueFastFoodChains
Bowling Green,KY,4
Bowling Green,MO,1
Boynton Beach,FL,2
Bozeman,MT,3
Bradenton,FL,4
Bradford,PA,3
Bradley,IL,2
Braidwood,IL,1
Brainerd,MN,1
Braintree,MA,1
Brandon,FL,4
Brandon,MS,1
Branson,MO,2
Brawley,CA,1
Brazil,IN,1
Brazoria,TX,1
Brea,CA,3
Breese,IL,1
Breezewood,PA,1
Breinigsville,PA,1
Bremen,IN,1
Brentwood,TN,1
Brick,NJ,2
Bridge City,TX,1
Bridgeport,CT,3
Bridgeport,MI,1
Bridgeport,WV,1
Bridgeton,MO,3
Bridgeton,NJ,1
Bridgeview,IL,1
Bridgeville,PA,3
Bridgewater,MA,1
Bridgman,MI,2
Brigham City,UT,1
Brighton,CO,4
Brighton,MA,1
Brighton,MI,1
Brinkley,AR,1
Bristol,CT,1
Bristol,PA,1
Bristol,TN,2
Bristol,WI,1
Bristow,OK,1
Broadview Heights,OH,1
Brockton,MA,4
Broken Arrow,OK,1
Broken Bow,OK,1
Bronx,NY,7
Brookfield,WI,2
Brookhaven,MS,2
Brookhaven,PA,3
Brookings,SD,6
Brookline,MA,1
Brooklyn,NY,16
Brookshire,TX,1
Brooksville,FL,3
Brookville,OH,1
Brookville,PA,1
Broomfield,CO,3
Broussard,LA,1
Brownsburg,IN,3
Brownsville,TN,1
Brownsville,TX,3
Brunswick,GA,1
Brunswick,OH,3
Brush,CO,1
Bryan,OH,1
Bryan,TX,3
Bryant,AR,3
Bryson City,NC,1
Buckeye,AZ,3
Buckhannon,WV,2
Bucyrus,OH,3
Buda,TX,1
Budd Lake,NJ,1
Buellton,CA,1
Buena Park,CA,4
Buffalo,NY,4
Buford,GA,3
Bulls Gap,TN,1
Buna,TX,1
Burbank,CA,5
Burbank,IL,2
Burbank,OH,1
Burkburnett,TX,1
Burke,VA,2
Burleson,TX,4
Burley,ID,1
Burlingame,CA,1
Burlington,CO,1
Burlington,IA,1
Burlington,MA,1
Burlington,NC,3
Burlington,NJ,1
Burlington,VT,2
Burlington,WA,1
Burnham,PA,1
Burnsville,MN,4
Burton,MI,1
Bushnell,FL,1
Butler,MO,1
Butler,PA,2
Butte,MT,1
Byesville,OH,1
Byron,MN,1
Cabot,AR,2
Cadillac,MI,2
Caldwell,ID,2
Caldwell,WV,1
Calera,OK,1
Calhan,CO,1
Calhoun,GA,2
Calhoun City,MS,1
Calimesa,CA,2
Calumet City,IL,1
Camarillo,CA,1
Cambridge,MA,6
Cambridge,MD,1
Cambridge,MN,2
Cambridge,OH,2
Camby,IN,2
Camden,NJ,2
Camden,SC,1
Camden,TN,1
Cameron,NC,2
Cameron,TX,1
Camp Hill,PA,2
Camp Verde,AZ,1
Campbell,CA,5
Campbellsville,KY,2
Canal Winchester,OH,1
Canby,OR,1
Candler,NC,2
Canoga Park,CA,4
Canonsburg,PA,7
Canton,GA,2
Canton,MI,3
Canton,NC,1
Canton,OH,10
Canton,TX,2
Cantonment,FL,1
Canyon,TX,2
Canyon Country,CA,4
Cape Canaveral,FL,1
Cape Coral,FL,2
Cape Girardeau,MO,3
Cape May Court House,NJ,1
Capitol Heights,MD,2
Capitola,CA,1
Carbondale,PA,1
Caribou,ME,1
Carlisle,PA,1
Carlsbad,CA,2
Carlsbad,NM,3
Carmel,IN,4
Carmichael,CA,3
Carnegie,PA,1
Carpentersville,IL,3
Carrizo Springs,TX,1
Carrollton,GA,2
Carrollton,TX,6
Carrollton,VA,1
Carson,CA,4
Carson City,NV,3
Cartersville,GA,4
Carthage,NC,1
Cary,IL,3
Cary,NC,3
Casa Grande,AZ,1
Casper,WY,2
Castle Rock,CO,3
Castro Valley,CA,5
Catlettsburg,KY,1
Catonsville,MD,5
Catoosa,OK,1
Cave City,KY,1
Cave Creek,AZ,3
Cedar City,UT,1
Cedar Falls,IA,1
Cedar Hill,TX,1
Cedar Knolls,NJ,1
Cedar Park,TX,3
Cedar Rapids,IA,7
Cedar Springs,MI,2
Cedarburg,WI,1
Cedartown,GA,2
Centereach,NY,3
Centerville,GA,1
Central,SC,1
Central City,KY,1
Central City,PA,1
Central Islip,NY,1
Centralia,IL,2
Centralia,WA,1
Centreville,MI,1
Ceres,CA,1
Cerritos,CA,2
Chadbourn,NC,1
Chadron,NE,2
Chalfont,PA,1
Chamberlain,SD,1
Chambersburg,PA,3
Champaign,IL,3
Champlin,MN,1
Chandler,AZ,11
Chanhassen,MN,2
Chantilly,VA,3
Chapel Hill,NC,6
Chardon,OH,1
Charles Town,WV,1
Charleston,SC,7
Charleston,WV,2
Charlestown,MA,1
Charlevoix,MI,1
Charlotte,NC,10
Charlottesville,VA,6
Chaska,MN,1
Chatsworth,CA,1
Chatsworth,GA,1
Chattahoochee,FL,1
Chattanooga,TN,12
Checotah,OK,1
Chehalis,WA,1
Chelmsford,MA,2
Chelsea,MA,2
Chesapeake,VA,3
Cheshire,CT,2
Chester,MD,1
Chester,NY,1
Chesterfield,MO,3
Chesterton,IN,2
Chestertown,MD,2
Chetek,WI,1
Cheyenne,WY,5
Chicago,IL,23
Chicago Heights,IL,2
Chickasha,OK,3
Chico,CA,4
Chicopee,MA,2
Childress,TX,1
Chillicothe,MO,1
Chillicothe,OH,2
Chino,CA,3
Chino Hills,CA,2
Chino Valley,AZ,1
Chipley,FL,1
Chippewa Falls,WI,1
Christiansburg,VA,3
Chula Vista,CA,5
Church Hill,TN,1
Churchville,NY,1
Cicero,IL,2
Cicero,NY,1
Cincinnati,OH,16
Circle Pines,MN,2
Circleville,OH,3
Citrus Heights,CA,5
Clare,MI,2
Claremont,CA,2
Claremont,NH,1
Claremore,OK,1
Clarion,PA,3
Clarkesville,GA,1
Clarksburg,WV,4
Clarksdale,MS,2
Clarkston,MI,2
Clarkston,WA,1
Clarksville,IN,3
Clarksville,MD,1
Clarksville,TN,3
Claymont,DE,2
Clayton,GA,2
Cle Elum,WA,2
Clear Lake,IA,1
Clearfield,PA,1
Clearwater,FL,7
Clearwater Beach,FL,1
Cleburne,TX,3
Clementon,NJ,1
Clemmons,NC,1
Clemson,SC,2
Clermont,FL,4
Cleveland,MS,1
Cleveland,OH,19
Cleveland,OK,1
Cleveland,TN,6
Cleveland,TX,2
Clifton,TX,1
Clifton Park,NY,1
Clinton,IA,2
Clinton,IN,1
Clinton,MA,1
Clinton,TN,2
Clinton Township,MI,1
Clintonville,WI,2
Clio,MI,1
Cloquet,MN,1
Clover,SC,1
Clovis,CA,3
Clovis,NM,2
Coachella,CA,2
Coal City,IL,1
Coalinga,CA,3
Coatesville,PA,1
Cobleskill,NY,1
Cocoa,FL,2
Cody,WY,4
Coeur d'Alene,ID,2
Coffeyville,KS,1
Colchester,VT,1
Coldwater,MI,2
College Park,MD,1
Collierville,TN,3
Collinsville,IL,4
Collinsville,VA,3
Colona,IL,1
Colonial Heights,VA,1
Colorado City,TX,1
Colorado Springs,CO,5
Colton,CA,4
Columbia,KY,1
Columbia,MD,4
Columbia,MO,4
Columbia,NJ,1
Columbia,PA,1
Columbia,SC,13
Columbia,TN,4
Columbia City,IN,2
Columbus,GA,6
Columbus,IN,4
Columbus,MS,1
Columbus,NE,2
Columbus,OH,22
Colusa,CA,1
Comanche,OK,1
Commack,NY,2
Commerce,GA,1
Compton,CA,2
Comstock Park,MI,1
Concord,CA,3
Concord,MA,1
Concord,NC,3
Concord,NH,1
Conifer,CO,2
Conley,GA,1
Connersville,IN,2
Conover,NC,2
Conroe,TX,6
Converse,TX,2
Conway,AR,3
Conway,SC,1
Conyers,GA,6
Cookeville,TN,4
Coopersburg,PA,1
Coos Bay,OR,2
Copperas Cove,TX,1
Coralville,IA,2
Coram,NY,1
Coraopolis,PA,2
Corbin,KY,1
Corcoran,CA,1
Cordele,GA,1
Cordova,TN,1
Cornelia,GA,2
Cornelius,NC,1
Cornersville,TN,1
Corning,NY,2
Corona,CA,8
Corona,NY,1
Corpus Christi,TX,8
Corrigan,TX,1
Corsicana,TX,1
Cortland,NY,2
Corvallis,MT,1
Corvallis,OR,4
Corydon,IN,3
Cos Cob,CT,1
Coshocton,OH,1
Costa Mesa,CA,8
Cottage Grove,OR,1
Cottonport,LA,1
Cottonwood,AZ,1
Council Bluffs,IA,3
Covina,CA,3
Covington,GA,3
Covington,LA,2
Cranberry,PA,1
Cranberry Township,PA,1
Cranford,NJ,2
Cranston,RI,1
Crawfordsville,IN,2
Crawfordville,FL,2
Crescent City,CA,2
Cresco,PA,1
Cresson,TX,1
Crest Hill,IL,1
Creston,IA,1
Crestview,FL,3
Crete,NE,1
Crisfield,MD,1
Crofton,MD,1
Crossville,TN,1
Crowley,LA,1
Cuba,MO,1
Cuero,TX,2
Culpeper,VA,1
Culver City,CA,2
Cumberland,MD,4
Cumming,GA,4
Cupertino,CA,2
Curran,MI,1
Cut Bank,MT,1
Cut Off,LA,1
Cuyahoga Falls,OH,4
Cypress,CA,5
Cypress,TX,3
Dacula,GA,1
Dahlonega,GA,1
Daingerfield,TX,1
Daleville,VA,1
Dallas,GA,4
Dallas,TX,22
Dalton,GA,9
Daly City,CA,4
Dana Point,CA,4
Dansville,NY,1
Danvers,MA,2
Danville,CA,1
Danville,IL,2
Danville,VA,2
Dardanelle,AR,1
Darien,IL,1
Darlington,SC,1
Davenport,IA,7
Davis,CA,1
Davis,OK,1
Davison,MI,3
Dayton,NV,2
Dayton,OH,10
Dayton,TN,1
Daytona Beach,FL,4
De Pere,WI,3
De Soto,MO,1
DeFuniak Springs,FL,3
DeKalb,IL,3
DeLand,FL,4
DeRidder,LA,2
Dearborn,MI,1
Dearborn Heights,MI,2
Decatur,GA,4
Decatur,IL,5
Decatur,TX,1
Decherd,TN,1
Deer Lodge,MT,1
Deer Park,TX,1
Deerfield Beach,FL,2
Defiance,OH,2
Del Rio,TX,5
Delafield,WI,3
Delavan,WI,3
Delaware,OH,4
Delmar,DE,2
Delray Beach,FL,1
Delta,CO,1
Deltona,FL,3
Deming,NM,1
Denham Springs,LA,1
Denison,IA,1
Denison,TX,1
Denton,TX,4
Denver,CO,20
Denver,PA,1
Depew,NY,1
Derry,NH,2
Des Moines,IA,5
Des Plaines,IL,2
Desert Hot Springs,CA,1
Destin,FL,1
Destrehan,LA,1
Detroit,MI,8
Detroit Lakes,MN,1
Devils Lake,ND,1
Devon,PA,1
Dexter,MI,1
Dexter,MO,1
Diamond Bar,CA,2
Dickinson,ND,5
Dickson,TN,2
Dillon,SC,1
Dillsburg,PA,1
Dinuba,CA,1
Discovery Bay,CA,1
Disputanta,VA,1
District Heights,MD,1
Dixon,CA,1
Dixon,IL,2
Dodge City,KS,3
Dolton,IL,1
Dorchester,MA,2
Dorchester Center,MA,1
Douglas,AZ,1
Douglasville,GA,6
Dover,DE,2
Dover Plains,NY,1
Dowagiac,MI,1
Downers Grove,IL,5
Downey,CA,2
Doylestown,PA,1
Dracut,MA,1
Draper,UT,4
Dravosburg,PA,1
Dresden,OH,1
Dripping Springs,TX,1
Drumright,OK,1
Duarte,CA,3
Dublin,CA,2
Dublin,GA,1
Dublin,OH,1
Dublin,VA,2
Dubuque,IA,3
Duluth,GA,3
Duluth,MN,5
Dumas,TX,1
Dumfries,VA,1
Duncan,OK,3
Duncan,SC,1
Duncanville,TX,2
Dundalk,MD,2
Dundee,MI,2
Dunedin,FL,1
Dunlap,TN,1
Dunn,NC,3
Durango,CO,2
Durant,OK,4
Durham,CT,1
Durham,NC,11
Dwight,IL,1
Dyersburg,TN,2
Eagle,CO,2
Eagle,ID,1
Eagle Pass,TX,1
Eagle River,AK,1
Early,TX,1
Easley,SC,3
East Alton,IL,2
East Aurora,NY,1
East Bernard,TX,1
East Brunswick,NJ,1
East Greenwich,RI,1
East Hanover,NJ,1
East Lansing,MI,3
East Liverpool,OH,2
East Meadow,NY,2
East Northport,NY,1
East Orange,NJ,2
East Peoria,IL,3
East Saint Louis,IL,1
East Syracuse,NY,1
East Wareham,MA,4
East Wenatchee,WA,1
Easthampton,MA,1
Eastland,TX,2
Easton,PA,1
Eaton Rapids,MI,1
Eatonton,GA,1
Eatontown,NJ,2
Eau Claire,WI,7
Ebensburg,PA,2
Ecorse,MI,1
Eddyville,KY,1
Eden,NC,1
Eden,TX,1
Eden Prairie,MN,1
Edgewater,FL,2
Edgewater,MD,2
Edgewood,MD,1
Edinburg,TX,2
Edison,NJ,2
Edmond,OK,4
Edmonton,KY,1
Edna,TX,1
Edwards,IL,1
Edwardsville,IL,1
Effingham,IL,6
El Cajon,CA,6
El Campo,TX,1
El Centro,CA,1
El Cerrito,CA,1
El Dorado,KS,1
El Dorado Springs,MO,1
El Monte,CA,5
El Paso,IL,1
El Paso,TX,12
El Sobrante,CA,1
Elberton,GA,2
Elgin,IL,4
Elizabeth,PA,1
Elizabeth City,NC,2
Elizabethton,TN,1
Elizabethtown,KY,3
Elizabethtown,NC,2
Elizabethtown,PA,1
Elk City,OK,4
Elk Grove,CA,1
Elk Grove Village,IL,2
Elkhart,IN,3
Elkins,WV,1
Elko,NV,2
Elkridge,MD,1
Elkton,MD,2
Elkton,VA,1
Elkview,WV,1
Ellicott City,MD,4
Ellijay,GA,3
Ellsworth,ME,2
Ellwood City,PA,1
Elmhurst,NY,1
Elmont,NY,1
Elmwood Park,IL,2
Elmwood Park,NJ,2
Eloy,AZ,1
Elsa,TX,1
Elyria,OH,4
Emmett,ID,1
Emmitsburg,MD,1
Emporia,VA,2
Encinitas,CA,2
Encino,CA,2
Endicott,NY,4
Energy,IL,1
Enfield,CT,1
Englewood,CO,1
Englewood,NJ,1
Englewood,OH,1
Englishtown,NJ,1
Enid,OK,2
Ennis,TX,3
Enoree,SC,1
Enosburg Falls,VT,1
Enumclaw,WA,1
Ephrata,PA,1
Ephrata,WA,2
Erie,PA,4
Ermine,KY,1
Erwin,NC,1
Escanaba,MI,2
Escondido,CA,5
Española,NM,2
Essex,MD,1
Essex Junction,VT,1
Estero,FL,1
Eugene,OR,9
Eunice,LA,2
Eureka,CA,2
Eureka,MO,1
Eustis,FL,2
Evans,CO,1
Evans,GA,1
Evansdale,IA,1
Evanston,WY,2
Evansville,IN,3
Eveleth,MN,1
Everett,MA,3
Everett,WA,2
Evergreen,CO,1
Exeter,NH,1
Exmore,VA,1
Exton,PA,2
Fair Oaks,CA,1
Fairbanks,AK,3
Fairborn,OH,5
Fairburn,GA,1
Fairfax,VA,3
Fairfield,CA,4
Fairfield,CT,1
Fairfield,OH,1
Fairhaven,MA,1
Fairless Hills,PA,3
Fairmont,WV,2
Fairport,NY,2
Fairview Heights,IL,1
Fall River,MA,1
Fallbrook,CA,1
Falls Church,VA,6
Falmouth,MA,1
Far Rockaway,NY,1
Fargo,ND,5
Faribault,MN,1
Farmerville,LA,1
Farmingdale,NY,1
Farmington,CT,1
Farmington,ME,1
Farmington,MI,1
Farmington,MO,3
Farmington,NM,2
Farmville,NC,1
Farmville,VA,2
Fayetteville,AR,5
Fayetteville,GA,3
Fayetteville,NC,9
Fayetteville,NY,1
Federal Way,WA,2
Fennville,MI,1
Fenton,MI,2
Fenton,MO,2
Fenwick Island,DE,1
Ferdinand,IN,1
Fergus Falls,MN,2
Festus,MO,1
Findlay,OH,1
Fishers,IN,6
Fitchburg,MA,2
Fitzgerald,GA,1
Flagstaff,AZ,3
Flemington,NJ,1
Flint,MI,5
Florence,KY,3
Florence,OR,3
Florence,SC,4
Florissant,MO,3
Flourtown,PA,1
Flower Mound,TX,2
Flowery Branch,GA,3
Flushing,MI,1
Follansbee,WV,2
Folsom,CA,2
Folsom,PA,1
Fond du Lac,WI,3
Fontana,CA,8
Forest City,IA,1
Forest Hills,NY,1
Forest Lake,MN,1
Forney,TX,1
Forsyth,GA,1
Forsyth,IL,1
Fort Belvoir,VA,1
Fort Collins,CO,3
Fort George G Meade,MD,1
Fort Lauderdale,FL,11
Fort Lupton,CO,1
Fort Mill,SC,1
Fort Myers,FL,4
Fort Pierce,FL,3
Fort Scott,KS,1
Fort Smith,AR,4
Fort Walton Beach,FL,3
Fort Washington,MD,1
Fort Wayne,IN,7
Fort Worth,TX,9
Fortuna,CA,1
Fostoria,OH,1
Fountain Hills,AZ,2
Fountain Inn,SC,1
Fountain Valley,CA,4
Fox Lake,IL,1
Frackville,PA,1
Framingham,MA,2
Frankenmuth,MI,1
Frankfort,IL,1
Frankfort,KY,2
Frankfort,NY,1
Franklin,IN,3
Franklin,KY,2
Franklin,MA,1
Franklin,MI,1
Franklin,TN,3
Franklin,WI,1
Franklin Park,NJ,1
Franklin Square,NY,1
Franklinton,LA,1
Fraser,MI,1
Frederick,MD,4
Fredericksburg,TX,1
Fredericksburg,VA,7
Fredonia,NY,1
Freedom,CA,1
Freeport,IL,2
Freeport,TX,1
Fremont,CA,8
Fremont,MI,1
Fremont,NE,1
Fremont,OH,2
Fremont,WI,1
Fresh Meadows,NY,1
Fresno,CA,11
Friendswood,TX,1
Frisco,TX,3
Frostburg,MD,1
Fruitport,MI,1
Fullerton,CA,9
Fulton,NY,1
Gaffney,SC,1
Gainesboro,TN,1
Gainesville,FL,5
Gainesville,GA,6
Gainesville,TX,2
Gallatin,TN,2
Gallipolis,OH,2
Galt,CA,1
Gambrills,MD,1
Garden City,ID,1
Garden City,KS,1
Garden Grove,CA,2
Gardena,CA,6
Gardner,MA,1
Garland,TX,4
Garner,NC,1
Garwood,NJ,1
Gary,IN,2
Gas City,IN,1
Gaston,SC,1
Gastonia,NC,5
Gatlinburg,TN,2
Geneva,IL,1
Geneva,NY,2
Geneva,OH,2
Georgetown,DE,1
Georgetown,KY,1
Georgetown,OH,1
Georgetown,TX,1
Germantown,MD,2
Germantown,TN,2
Germantown,WI,1
Gettysburg,PA,2
Gibson City,IL,1
Gibsonia,PA,1
Gilbert,AZ,13
Gilbert,SC,1
Gillette,WY,2
Gilmer,TX,2
Gilroy,CA,3
Girard,OH,1
Gladstone,OR,2
Glassboro,NJ,1
Glastonbury,CT,3
Glen Burnie,MD,4
Glen Carbon,IL,1
Glen Cove,NY,1
Glen Ellyn,IL,2
Glen Rock,PA,1
Glen Rose,TX,1
Glendale,AZ,12
Glendale,CA,4
Glendale Heights,IL,1
Glendive,MT,1
Glendora,CA,3
Glenolden,PA,1
Glenpool,OK,2
Glenview,IL,2
Gloucester,VA,1
Gloversville,NY,1
Godfrey,IL,2
Goldsboro,NC,2
Goleta,CA,1
Gonzales,CA,1
Gonzales,LA,4
Goodland,KS,1
Goodlettsville,TN,5
Goodyear,AZ,2
Goose Creek,SC,1
Gordonsville,TN,1
Gordonsville,VA,1
Goshen,IN,3
Graceville,FL,1
Grafton,OH,1
Grafton,WI,1
Grafton,WV,1
Graham,NC,1
Granada Hills,CA,2
Grand Blanc,MI,1
Grand Forks,ND,7
Grand Haven,MI,1
Grand Island,NE,5
Grand Junction,CO,3
Grand Prairie,TX,5
Grand Rapids,MI,11
Grand Rapids,MN,1
Grandview,MO,2
Grandville,MI,5
Granite Bay,CA,1
Granite City,IL,3
Grants,NM,2
Grants Pass,OR,5
Grantsville,MD,2
Grapevine,TX,2
Grass Lake,MI,1
Grayslake,IL,2
Great Bend,KS,1
Great Falls,MT,3
Greeley,CO,3
Green Bay,WI,4
Green River,WY,1
Green Valley,AZ,1
Greenbrier,AR,1
Greencastle,IN,2
Greeneville,TN,4
Greensboro,GA,1
Greensboro,NC,8
Greensburg,PA,4
Greenvale,NY,1
Greenville,AL,1
Greenville,FL,1
Greenville,NC,2
Greenville,OH,1
Greenville,SC,4
Greenwich,CT,1
Greenwood,IN,2
Greenwood,SC,1
Greer,SC,4
Gresham,OR,3
Gretna,LA,3
Gretna,NE,2
Griffin,GA,2
Grimes,IA,2
Grindstone,PA,1
Grinnell,IA,1
Grove City,OH,4
Grove City,PA,2
Grover Beach,CA,1
Guilford,CT,2
Gulf Breeze,FL,1
Gulfport,MS,2
Gunnison,CO,1
Gurnee,IL,3
Gustine,CA,1
Guthrie,OK,1
Hacienda Heights,CA,3
Haddon Heights,NJ,1
Hagerstown,MD,2
Haines City,FL,2
Hales Corners,WI,1
Haleyville,AL,1
Hamburg,NY,1
Hamden,CT,2
Hamilton,MI,1
Hamilton,OH,6
Hamilton,TX,1
Hammond,IN,2
Hammond,LA,5
Hammonton,NJ,1
Hampstead,MD,1
Hampton,NH,1
Hampton,VA,4
Hancock,NY,1
Hanford,CA,2
Hannibal,MO,1
Hanover,MA,1
Hanover,MD,3
Hanover,PA,3
Happy Valley,OR,3
Hardinsburg,KY,1
Harker Heights,TX,2
Harlan,IA,1
Harlingen,TX,2
Harmony,PA,1
Harrah,OK,1
Harrington,DE,2
Harrisburg,IL,1
Harrisburg,PA,6
Harrison,AR,1
Harrison,MI,2
Harrison,NJ,1
Harrison,OH,1
Harrisonburg,VA,2
Harrisonville,MO,1
Harrodsburg,KY,1
Harrold,TX,1
Hartford,CT,1
Hartland,MI,3
Hartsville,SC,3
Hartsville,TN,1
Hartville,OH,1
Hartwell,GA,1
Harvey,LA,2
Hasbrouck Heights,NJ,2
Haskell,TX,1
Hatfield,PA,1
Hattiesburg,MS,1
Haughton,LA,1
Haverford,PA,1
Havre,MT,1
Havre de Grace,MD,1
Hawaiian Gardens,CA,1
Hawkinsville,GA,1
Hawley,PA,1
Hawthorne,CA,3
Hawthorne,NJ,1
Hayes,VA,1
Hayesville,NC,1
Hays,KS,1
Haysville,KS,1
Hayward,CA,4
Hazard,KY,1
Hazel Park,MI,1
